order,time_arrive,time_delivery,kind_number
0,0,87,"(8, 5, 9, 6, 6, 5, 9, 5, 9, 7, 9, 9, 6, 8)"
1,189,280,"(10, 10, 6, 7, 5, 6, 5, 6, 10, 8, 8, 6, 6, 10)"
2,331,417,"(5, 5, 10, 7, 7, 6, 8, 7, 7, 9, 8, 5, 5, 10)"
3,436,522,"(5, 9, 6, 6, 5, 8, 9, 5, 5, 6, 10, 8, 9, 9)"
4,635,720,"(7, 8, 6, 10, 10, 7, 6, 5, 7, 6, 5, 6, 10, 8)"
5,808,891,"(6, 8, 6, 5, 8, 9, 8, 5, 8, 6, 6, 9, 8, 6)"
6,958,1046,"(8, 7, 6, 8, 10, 6, 10, 7, 7, 6, 7, 6, 5, 10)"
7,1101,1184,"(9, 5, 7, 6, 5, 8, 8, 8, 6, 7, 6, 7, 9, 6)"
8,1240,1335,"(10, 9, 6, 9, 9, 6, 5, 8, 9, 8, 6, 9, 8, 8)"
9,1421,1511,"(7, 5, 10, 8, 10, 6, 6, 7, 8, 9, 6, 9, 6, 9)"
