kind,task,machine_selectable,process_time
0,0,"(8, 15, 9, 2, 25, 19, 13, 12, 7, 6, 20, 16, 28)","(10, 13, 17, 15, 18, 19, 19, 17, 20, 15, 17, 11, 11)"
0,1,"(25, 27, 0, 5, 13, 2, 28, 1, 12, 7, 15, 29, 24, 14, 20, 18, 3, 9, 4, 8, 11, 22, 21, 17, 23, 19, 26)","(20, 13, 10, 15, 15, 20, 14, 18, 18, 15, 11, 10, 12, 17, 12, 16, 11, 14, 19, 13, 13, 11, 16, 13, 17, 13, 15)"
0,2,"(7, 28, 23, 5, 25, 14, 13, 22)","(11, 16, 10, 20, 20, 19, 11, 17)"
0,3,"(6, 15, 14)","(17, 20, 19)"
0,4,"(1, 11, 17, 18, 5, 10, 0, 25, 15, 19, 21, 24, 2, 8, 23)","(18, 12, 17, 10, 18, 10, 18, 16, 19, 17, 18, 12, 19, 12, 12)"
0,5,"(24, 7, 26, 0, 25, 10, 6, 22, 13, 17, 14, 5, 11, 15, 18)","(11, 16, 20, 19, 19, 15, 18, 16, 16, 19, 13, 14, 16, 15, 14)"
0,6,"(13, 1, 0, 9, 23, 16, 25, 7, 6, 22, 24, 28, 15, 2, 10, 20, 19, 17, 12, 4, 8, 27, 26, 29, 5, 11)","(17, 12, 12, 16, 19, 18, 14, 18, 15, 18, 20, 13, 13, 13, 19, 14, 20, 15, 20, 12, 20, 12, 18, 18, 20, 15)"
0,7,"(20, 7, 28, 18, 21, 11, 25, 6, 12, 13, 19, 2, 24, 17, 0, 5, 4, 14, 15)","(11, 15, 18, 17, 19, 19, 20, 16, 20, 18, 14, 16, 10, 18, 11, 10, 16, 12, 10)"
0,8,"(4, 20, 13, 9, 10, 25, 23, 7, 3, 18, 15, 0, 29, 22, 14)","(20, 10, 13, 14, 12, 14, 20, 14, 12, 10, 14, 13, 18, 10, 15)"
1,0,"(12, 6, 24)","(17, 11, 19)"
1,1,"(10, 12, 16, 8, 19, 27, 5, 28, 9, 0, 24, 29, 26, 14, 25, 20, 15, 17, 2, 13, 6, 7, 4, 18, 21, 23, 1, 22)","(20, 18, 13, 20, 18, 16, 13, 18, 14, 20, 10, 16, 16, 16, 20, 15, 18, 10, 10, 14, 13, 19, 17, 13, 20, 20, 15, 19)"
1,2,"(20, 11, 29, 10, 2, 9, 7, 18, 19, 28, 12, 22, 3, 6, 14, 25)","(18, 19, 13, 13, 14, 17, 12, 20, 11, 12, 12, 18, 11, 16, 10, 16)"
1,3,"(13, 21, 12, 14, 28, 15, 27, 2, 6, 11, 10, 0, 26, 3, 22)","(14, 18, 14, 12, 12, 19, 14, 10, 15, 17, 12, 10, 12, 15, 19)"
1,4,"(7, 3, 18, 12, 0, 17, 26, 24, 28, 16, 19)","(10, 20, 19, 20, 14, 17, 19, 18, 15, 11, 15)"
1,5,"(5, 4, 16, 21)","(18, 13, 12, 18)"
2,0,"(22, 23, 1, 4, 6, 11, 0, 24, 7, 18, 21, 27, 29, 10, 28, 3)","(11, 18, 12, 16, 18, 18, 16, 11, 15, 13, 13, 20, 15, 15, 15, 14)"
2,1,"(18, 8, 3, 17, 26, 5, 11, 28, 21, 9, 2, 24, 25, 27, 1, 15, 10, 4, 13, 0, 23, 29, 14, 22)","(13, 19, 18, 17, 18, 20, 10, 11, 20, 15, 17, 13, 20, 19, 19, 13, 10, 20, 15, 16, 11, 16, 14, 18)"
2,2,"(16, 25, 1, 17, 4, 11, 29, 28, 15, 6, 14, 10, 21, 27, 8, 20, 22, 19, 7, 24, 0)","(14, 10, 18, 15, 18, 18, 17, 17, 10, 14, 20, 13, 15, 18, 11, 11, 12, 18, 18, 10, 20)"
2,3,"(16,)","(11,)"
2,4,"(21, 27, 8, 12)","(13, 20, 20, 13)"
2,5,"(14, 27, 18, 1, 11, 7, 10, 2, 5, 8, 26, 28, 0)","(20, 16, 11, 13, 18, 16, 20, 11, 20, 12, 10, 17, 15)"
2,6,"(24, 17, 26, 27, 18, 9, 3, 5, 10, 1, 20, 7, 28, 0)","(10, 11, 11, 10, 12, 14, 18, 11, 19, 13, 14, 16, 16, 17)"
2,7,"(4, 20)","(20, 16)"
2,8,"(5, 3, 2, 8, 19, 10, 13, 11, 25, 27, 29, 6, 16, 4, 20, 23, 22, 28)","(16, 15, 10, 16, 20, 11, 18, 10, 20, 19, 11, 19, 10, 11, 15, 18, 11, 14)"
3,0,"(3, 23, 1, 7, 19, 4, 9, 27, 18, 13, 11, 21, 26, 5, 17, 12, 29, 8)","(20, 14, 19, 11, 14, 17, 16, 16, 20, 10, 17, 12, 18, 13, 12, 16, 18, 14)"
3,1,"(27,)","(20,)"
3,2,"(23, 4, 27, 6, 5, 16, 14, 29, 12, 20, 15, 11, 8, 0, 22, 1, 17, 24, 10, 3, 7, 13, 21, 25, 18, 2, 9)","(12, 14, 20, 20, 15, 10, 18, 18, 12, 11, 10, 10, 19, 19, 16, 18, 18, 11, 14, 13, 15, 13, 16, 20, 18, 12, 12)"
3,3,"(20, 13, 1)","(12, 13, 19)"
3,4,"(27, 12, 7, 21, 6, 3, 4, 25, 0, 19, 24, 2, 8, 5, 13, 23, 22, 20, 18, 26, 17, 1, 16, 15, 14, 10)","(14, 13, 11, 12, 20, 19, 10, 18, 17, 20, 18, 11, 14, 20, 11, 14, 11, 13, 19, 17, 15, 15, 12, 20, 20, 13)"
3,5,"(8, 13, 29, 10, 1, 23, 25, 24, 2, 12, 15, 19, 18, 16, 7, 17, 0, 11, 4, 5)","(11, 14, 19, 11, 13, 15, 17, 17, 15, 19, 20, 14, 19, 12, 19, 19, 15, 15, 16, 12)"
3,6,"(19, 28, 11, 16, 18, 24, 8, 4, 2, 9, 14, 3, 20, 15, 22, 21, 0, 10, 27, 1)","(10, 15, 13, 13, 20, 16, 14, 15, 12, 20, 15, 17, 17, 17, 15, 14, 17, 18, 11, 12)"
3,7,"(29, 25, 14, 0, 11, 1, 7, 8, 4, 12, 24, 9, 23, 6, 3, 22, 16, 17, 13, 5, 2)","(20, 19, 11, 14, 12, 18, 13, 14, 20, 11, 11, 10, 18, 20, 10, 19, 19, 16, 19, 13, 10)"
3,8,"(12, 6, 14, 8, 22, 7, 26, 20, 23, 0)","(18, 14, 18, 18, 17, 20, 12, 15, 16, 13)"
3,9,"(16, 14, 28, 12, 19, 24, 1, 25, 15, 7, 13, 3, 6, 0, 2, 5, 9, 18, 8, 4, 11, 20, 10, 27, 23, 29, 21, 22, 26)","(19, 14, 12, 17, 18, 18, 11, 16, 15, 18, 10, 20, 13, 19, 20, 12, 18, 12, 17, 12, 12, 19, 19, 20, 12, 17, 15, 10, 13)"
4,0,"(6, 25, 13, 23, 8, 9, 18, 24, 21, 16, 3, 27, 20, 26, 4, 1, 28)","(17, 13, 11, 14, 15, 13, 10, 20, 13, 18, 15, 16, 17, 17, 10, 10, 20)"
4,1,"(1, 29, 18, 5, 23, 26, 11, 7, 28, 21, 0, 9, 4, 3, 17, 2, 8, 20)","(15, 11, 18, 20, 14, 14, 19, 18, 19, 12, 16, 20, 16, 15, 19, 20, 11, 18)"
4,2,"(26, 0, 19, 20, 14, 29, 24)","(14, 16, 13, 18, 16, 15, 15)"
4,3,"(22, 28, 14, 18, 11, 19, 23, 8, 0, 6, 2, 26, 7, 9, 20, 15, 24, 13, 10, 1, 5)","(17, 17, 19, 10, 18, 12, 17, 12, 13, 11, 18, 20, 14, 13, 12, 12, 12, 15, 19, 11, 20)"
4,4,"(5, 25, 10, 20, 26, 4, 2, 28, 3, 19, 27, 0, 13, 6, 29, 22, 9, 14, 16, 7, 11, 18)","(13, 16, 15, 11, 17, 20, 17, 17, 13, 19, 12, 20, 16, 10, 13, 10, 12, 19, 19, 12, 12, 20)"
4,5,"(9, 1, 10, 19, 20, 13, 21, 26, 28, 8, 23, 27, 4, 14, 0)","(18, 10, 19, 12, 10, 12, 14, 12, 18, 16, 19, 19, 20, 10, 20)"
4,6,"(8, 16, 28, 22, 26, 17, 6, 11, 3, 4, 0)","(14, 11, 13, 17, 19, 17, 17, 12, 13, 16, 19)"
4,7,"(10, 18, 4, 13, 8, 11, 2, 5, 6, 1, 15, 25)","(12, 19, 12, 19, 20, 18, 14, 12, 20, 15, 17, 19)"
