variant,DDT,M,S,run,seed,total_tardiness,decision_time_ms_mean
full,0.5,10,1,0,0,5135.0,0.6815
full,0.5,10,1,1,1,5347.0,0.6389
full,0.5,10,1,2,2,5617.0,0.6562
full,0.5,10,1,3,3,5277.0,0.5997
full,0.5,10,1,4,4,5158.0,0.6464
full,0.5,10,1,5,5,5203.0,0.6679
full,0.5,10,1,6,6,5428.0,0.7301
full,0.5,10,1,7,7,5189.0,0.6958
full,0.5,10,1,8,8,5505.0,0.692
full,0.5,10,1,9,9,5398.0,0.6826
full,0.5,10,1,10,10,5692.0,0.547
full,0.5,10,1,11,11,5470.0,0.5139
full,0.5,10,1,12,12,5309.0,0.5564
full,0.5,10,1,13,13,5237.0,0.5387
full,0.5,10,1,14,14,5532.0,0.5318
full,0.5,10,1,15,15,5378.0,0.5139
full,0.5,10,1,16,16,5366.0,0.5869
full,0.5,10,1,17,17,4973.0,0.5936
full,0.5,10,1,18,18,5158.0,0.5123
full,0.5,10,1,19,19,4979.0,0.5456
full,0.5,10,1,20,20,5824.0,0.5454
full,0.5,10,1,21,21,4844.0,0.557
full,0.5,10,1,22,22,4902.0,0.5123
full,0.5,10,1,23,23,5277.0,0.5216
full,0.5,10,1,24,24,5413.0,0.5723
full,0.5,10,1,25,25,5496.0,0.5229
full,0.5,10,1,26,26,5283.0,0.4945
full,0.5,10,1,27,27,5577.0,0.5238
full,0.5,10,1,28,28,4845.0,0.5241
full,0.5,10,1,29,29,5082.0,0.5204
full,0.5,10,3,0,0,50007.0,0.5936
full,0.5,10,3,1,1,51282.0,0.5949
full,0.5,10,3,2,2,53807.0,0.5922
full,0.5,10,3,3,3,52740.0,0.6064
full,0.5,10,3,4,4,56966.0,0.5938
full,0.5,10,3,5,5,52494.0,0.5904
full,0.5,10,3,6,6,49421.0,0.6022
full,0.5,10,3,7,7,49330.0,0.6613
full,0.5,10,3,8,8,47059.0,0.781
full,0.5,10,3,9,9,52187.0,0.7967
full,0.5,10,3,10,10,49490.0,0.7209
full,0.5,10,3,11,11,49710.0,0.703
full,0.5,10,3,12,12,47267.0,0.8511
full,0.5,10,3,13,13,50421.0,0.7057
full,0.5,10,3,14,14,50157.0,0.7413
full,0.5,10,3,15,15,47290.0,0.8094
full,0.5,10,3,16,16,50352.0,0.7625
full,0.5,10,3,17,17,45794.0,0.7309
full,0.5,10,3,18,18,53952.0,0.7459
full,0.5,10,3,19,19,50968.0,0.6007
full,0.5,10,3,20,20,55270.0,0.6296
full,0.5,10,3,21,21,53489.0,0.6266
full,0.5,10,3,22,22,52883.0,0.6144
full,0.5,10,3,23,23,48797.0,0.6185
full,0.5,10,3,24,24,55617.0,0.605
full,0.5,10,3,25,25,50062.0,0.5855
full,0.5,10,3,26,26,49530.0,0.6016
full,0.5,10,3,27,27,52565.0,0.5939
full,0.5,10,3,28,28,50983.0,0.61
full,0.5,10,3,29,29,49328.0,0.7117
full,0.5,10,5,0,0,212348.0,0.7809
full,0.5,10,5,1,1,209983.0,0.7487
full,0.5,10,5,2,2,209720.0,0.7549
full,0.5,10,5,3,3,207256.0,0.7436
full,0.5,10,5,4,4,216769.0,0.7321
