DDT,M,S,mean,std,n_runs,decision_time_ms_mean
0.5,10,1,5296.47,241.19,30,0.4372
0.5,10,3,50973.93,2603.56,30,0.4443
0.5,10,5,215348.77,5498.8,30,0.448
0.5,15,1,5651.4,321.56,30,0.4308
0.5,15,3,21419.07,1592.73,30,0.4373
0.5,15,5,39994.97,2188.43,30,0.4638
0.5,20,1,7557.47,269.68,30,0.4521
0.5,20,3,24043.07,2435.61,30,0.4577
0.5,20,5,22569.57,316.99,30,0.4178
1.0,10,1,1579.17,299.63,30,0.4484
1.0,10,3,29852.43,1928.82,30,0.4509
1.0,10,5,21368.0,1277.75,30,0.4178
1.0,15,1,652.8,100.21,30,0.4302
1.0,15,3,10565.87,981.12,30,0.4753
1.0,15,5,26949.0,3173.59,30,0.4876
1.0,20,1,2556.87,102.09,30,0.4449
1.0,20,3,1019.03,128.17,30,0.4184
1.0,20,5,11042.47,1269.65,30,0.4726
1.5,10,1,0.0,0.0,30,0.4788
1.5,10,3,13772.87,1360.59,30,0.4593
1.5,10,5,4032.93,758.57,30,0.4195
1.5,15,1,0.0,0.0,30,0.4821
1.5,15,3,262.4,179.63,30,0.4938
1.5,15,5,17188.77,2846.37,30,0.4937
1.5,20,1,285.63,164.68,30,0.4487
1.5,20,3,1478.3,163.5,30,0.4238
1.5,20,5,4075.53,86.8,30,0.4246
