DDT,M,S,run,event_index,n_kind_tasks,n_vars,solve_time_ms
0.5,10,1,0,0,58,308,14.2397
0.5,10,1,1,0,58,308,2.9337
0.5,10,1,2,0,58,308,2.9022
0.5,10,1,3,0,58,308,2.7841
0.5,10,1,4,0,58,308,2.7991
0.5,10,1,5,0,58,308,2.8245
0.5,10,1,6,0,58,308,2.7939
0.5,10,1,7,0,58,308,2.8961
0.5,10,1,8,0,58,308,2.7973
0.5,10,1,9,0,58,308,2.7882
0.5,10,3,0,0,78,462,4.8015
0.5,10,3,0,1,78,462,4.4637
0.5,10,3,0,2,78,462,4.3924
0.5,10,3,1,0,78,462,4.7139
0.5,10,3,1,1,78,462,4.2132
0.5,10,3,1,2,78,462,4.4798
0.5,10,3,2,0,78,462,4.8477
0.5,10,3,2,1,78,462,4.4948
0.5,10,3,2,2,78,462,4.6447
0.5,10,3,3,0,78,462,4.6819
0.5,10,3,3,1,78,462,4.4628
0.5,10,3,3,2,78,462,4.3504
0.5,10,3,4,0,78,462,4.8215
0.5,10,3,4,1,78,462,5.3161
0.5,10,3,4,2,78,462,4.5855
0.5,10,3,5,0,78,462,4.7744
0.5,10,3,5,1,78,462,5.2075
0.5,10,3,5,2,78,462,4.2692
0.5,10,3,6,0,78,462,4.9553
0.5,10,3,6,1,78,462,4.4141
0.5,10,3,6,2,78,462,4.5197
0.5,10,3,7,0,78,462,4.8009
0.5,10,3,7,1,78,462,5.1809
0.5,10,3,7,2,78,462,4.341
0.5,10,3,8,0,78,462,4.7448
0.5,10,3,8,1,78,462,4.3118
0.5,10,3,8,2,78,462,4.4425
0.5,10,3,9,0,78,462,4.6896
0.5,10,3,9,1,78,462,4.5321
0.5,10,3,9,2,78,462,4.9509
0.5,10,5,0,0,79,424,4.5961
0.5,10,5,0,1,79,424,4.5942
0.5,10,5,0,2,79,424,4.3382
0.5,10,5,0,3,79,424,9.4185
0.5,10,5,0,4,79,424,3.7418
0.5,10,5,1,0,79,424,4.4277
0.5,10,5,1,1,79,424,4.2402
