DDT,M,S,mean_ms,p95_ms,max_ms,n_solves
0.5,10,1,3.976,9.152,14.24,10
0.5,10,3,4.647,5.196,5.316,30
0.5,10,5,4.503,5.459,9.419,50
0.5,15,1,4.897,5.021,5.057,10
0.5,15,3,4.809,5.305,6.419,30
0.5,15,5,5.937,6.587,6.698,50
0.5,20,1,6.696,6.84,6.871,10
0.5,20,3,10.322,10.65,59.477,30
0.5,20,5,4.378,3.795,65.063,50
1.0,10,1,5.606,6.399,6.483,10
1.0,10,3,5.098,5.289,11.051,30
1.0,10,5,3.033,2.316,52.224,50
1.0,15,1,4.178,5.255,5.557,10
1.0,15,3,8.426,7.641,58.94,30
1.0,15,5,10.191,13.499,67.94,50
1.0,20,1,5.22,6.348,7.225,10
1.0,20,3,3.973,4.295,4.8,30
1.0,20,5,9.222,8.92,75.59,50
1.5,10,1,13.844,46.541,78.967,10
1.5,10,3,5.003,5.512,5.916,30
1.5,10,5,2.192,2.551,2.821,50
1.5,15,1,6.348,6.799,7.071,10
1.5,15,3,8.13,7.389,59.879,30
1.5,15,5,8.158,7.859,83.673,50
1.5,20,1,6.057,6.527,6.75,10
1.5,20,3,4.652,3.687,42.952,30
1.5,20,5,5.282,3.874,65.31,50
0.5,25,10,7.358,8.673,11.125,100
0.5,25,8,13.996,14.579,134.43,80
0.5,30,10,15.268,16.807,131.691,100
0.5,30,8,4.996,6.425,7.159,80
0.5,40,10,14.613,15.603,100.961,100
0.5,40,8,22.616,21.662,137.062,80
1.0,25,10,12.41,12.291,144.407,100
1.0,25,8,9.237,8.806,105.944,80
1.0,30,10,8.65,8.415,126.194,100
1.0,30,8,10.893,12.1,16.315,80
1.0,40,10,11.202,13.89,14.604,100
1.0,40,8,6.422,8.862,14.623,80
1.5,25,10,7.639,8.046,105.664,100
1.5,25,8,12.392,13.494,14.726,80
1.5,30,10,6.477,6.466,133.895,100
1.5,30,8,12.077,12.623,118.225,80
1.5,40,10,11.808,13.7,138.157,100
1.5,40,8,6.452,8.207,12.162,80
