method,DDT,M,S,run,seed,total_tardiness
DA3C,0.5,25,8,0,42,980872
DA3C,0.5,25,8,1,43,994021
DA3C,0.5,25,8,2,44,985336
EDD+SPT,0.5,25,8,0,42,1313335
EDD+SPT,0.5,25,8,1,43,1313335
EDD+SPT,0.5,25,8,2,44,1313335
URG+SPT,0.5,25,8,0,42,1305920
URG+SPT,0.5,25,8,1,43,1305920
URG+SPT,0.5,25,8,2,44,1305920
Random,0.5,25,8,0,42,1404687
Random,0.5,25,8,1,43,1404538
Random,0.5,25,8,2,44,1410257
DA3C,0.5,25,10,0,42,200241
DA3C,0.5,25,10,1,43,202744
DA3C,0.5,25,10,2,44,200388
EDD+SPT,0.5,25,10,0,42,305988
EDD+SPT,0.5,25,10,1,43,305988
EDD+SPT,0.5,25,10,2,44,305988
URG+SPT,0.5,25,10,0,42,295731
URG+SPT,0.5,25,10,1,43,295731
URG+SPT,0.5,25,10,2,44,295731
Random,0.5,25,10,0,42,337155
Random,0.5,25,10,1,43,334851
Random,0.5,25,10,2,44,336729
DA3C,0.5,30,8,0,42,40956
DA3C,0.5,30,8,1,43,42018
DA3C,0.5,30,8,2,44,42067
EDD+SPT,0.5,30,8,0,42,46768
EDD+SPT,0.5,30,8,1,43,46768
EDD+SPT,0.5,30,8,2,44,46768
URG+SPT,0.5,30,8,0,42,41226
URG+SPT,0.5,30,8,1,43,41226
URG+SPT,0.5,30,8,2,44,41226
Random,0.5,30,8,0,42,50384
Random,0.5,30,8,1,43,51113
Random,0.5,30,8,2,44,48213
DA3C,0.5,30,10,0,42,619096
DA3C,0.5,30,10,1,43,613814
DA3C,0.5,30,10,2,44,622630
EDD+SPT,0.5,30,10,0,42,950669
EDD+SPT,0.5,30,10,1,43,950669
EDD+SPT,0.5,30,10,2,44,950669
URG+SPT,0.5,30,10,0,42,954956
URG+SPT,0.5,30,10,1,43,954956
URG+SPT,0.5,30,10,2,44,954956
Random,0.5,30,10,0,42,1025059
Random,0.5,30,10,1,43,1020195
Random,0.5,30,10,2,44,1025991
DA3C,0.5,40,8,0,42,392114
DA3C,0.5,40,8,1,43,389611
DA3C,0.5,40,8,2,44,387363
EDD+SPT,0.5,40,8,0,42,569370
EDD+SPT,0.5,40,8,1,43,569370
EDD+SPT,0.5,40,8,2,44,569370
URG+SPT,0.5,40,8,0,42,563693
URG+SPT,0.5,40,8,1,43,563693
URG+SPT,0.5,40,8,2,44,563693
Random,0.5,40,8,0,42,635484
Random,0.5,40,8,1,43,634369
Random,0.5,40,8,2,44,631029
DA3C,0.5,40,10,0,42,151734
DA3C,0.5,40,10,1,43,149788
DA3C,0.5,40,10,2,44,157420
EDD+SPT,0.5,40,10,0,42,234003
EDD+SPT,0.5,40,10,1,43,234003
EDD+SPT,0.5,40,10,2,44,234003
URG+SPT,0.5,40,10,0,42,227681
