DDT,M,S,method,mean,std,n_runs
0.5,25,8,DA3C,986743.0,5459.47,3
0.5,25,8,EDD+SPT,1313335.0,0.0,3
0.5,25,8,Random,1406494.0,2661.54,3
0.5,25,8,URG+SPT,1305920.0,0.0,3
0.5,25,10,DA3C,201124.33,1146.85,3
0.5,25,10,EDD+SPT,305988.0,0.0,3
0.5,25,10,Random,336245.0,1000.93,3
0.5,25,10,URG+SPT,295731.0,0.0,3
0.5,30,8,DA3C,41680.33,512.57,3
0.5,30,8,EDD+SPT,46768.0,0.0,3
0.5,30,8,Random,49903.33,1231.74,3
0.5,30,8,URG+SPT,41226.0,0.0,3
0.5,30,10,DA3C,618513.33,3622.62,3
0.5,30,10,EDD+SPT,950669.0,0.0,3
0.5,30,10,Random,1023748.33,2541.23,3
0.5,30,10,URG+SPT,954956.0,0.0,3
0.5,40,8,DA3C,389696.0,1940.52,3
0.5,40,8,EDD+SPT,569370.0,0.0,3
0.5,40,8,Random,633627.33,1892.85,3
0.5,40,8,URG+SPT,563693.0,0.0,3
0.5,40,10,DA3C,152980.67,3238.05,3
0.5,40,10,EDD+SPT,234003.0,0.0,3
0.5,40,10,Random,263835.67,920.93,3
0.5,40,10,URG+SPT,227681.0,0.0,3
1.0,25,8,DA3C,223781.33,1685.67,3
1.0,25,8,EDD+SPT,351655.0,0.0,3
1.0,25,8,Random,368809.0,1013.99,3
1.0,25,8,URG+SPT,340446.0,0.0,3
1.0,25,10,DA3C,585244.67,1253.59,3
1.0,25,10,EDD+SPT,858449.0,0.0,3
1.0,25,10,Random,907684.67,3198.23,3
1.0,25,10,URG+SPT,854934.0,0.0,3
1.0,30,8,DA3C,192130.33,867.01,3
1.0,30,8,EDD+SPT,318862.0,0.0,3
1.0,30,8,Random,350708.33,1318.27,3
1.0,30,8,URG+SPT,309696.0,0.0,3
1.0,30,10,DA3C,175084.0,3849.58,3
1.0,30,10,EDD+SPT,281620.0,0.0,3
1.0,30,10,Random,318643.33,1940.68,3
1.0,30,10,URG+SPT,284439.0,0.0,3
1.0,40,8,DA3C,30058.33,79.85,3
1.0,40,8,EDD+SPT,27237.0,0.0,3
1.0,40,8,Random,32065.0,823.36,3
1.0,40,8,URG+SPT,25648.0,0.0,3
1.0,40,10,DA3C,87126.33,2083.07,3
1.0,40,10,EDD+SPT,143678.0,0.0,3
1.0,40,10,Random,166506.67,1032.99,3
1.0,40,10,URG+SPT,131667.0,0.0,3
1.5,25,8,DA3C,498669.33,2563.91,3
1.5,25,8,EDD+SPT,796317.0,0.0,3
1.5,25,8,Random,876270.0,3763.95,3
1.5,25,8,URG+SPT,797835.0,0.0,3
1.5,25,10,DA3C,142247.67,519.21,3
1.5,25,10,EDD+SPT,249834.0,0.0,3
1.5,25,10,Random,276499.0,2739.13,3
1.5,25,10,URG+SPT,245142.0,0.0,3
1.5,30,8,DA3C,134819.33,458.55,3
1.5,30,8,EDD+SPT,229127.0,0.0,3
1.5,30,8,Random,265653.33,1466.83,3
1.5,30,8,URG+SPT,221463.0,0.0,3
1.5,30,10,DA3C,27202.0,629.82,3
1.5,30,10,EDD+SPT,46700.0,0.0,3
1.5,30,10,Random,51392.0,367.48,3
1.5,30,10,URG+SPT,46560.0,0.0,3
1.5,40,8,DA3C,23846.33,351.9,3
1.5,40,8,EDD+SPT,23420.0,0.0,3
1.5,40,8,Random,25997.33,217.77,3
1.5,40,8,URG+SPT,18197.0,0.0,3
1.5,40,10,DA3C,77718.33,4650.51,3
1.5,40,10,EDD+SPT,106015.0,0.0,3
1.5,40,10,Random,138812.0,925.67,3
1.5,40,10,URG+SPT,101597.0,0.0,3
